US Equity,Foreign EQ,Emerging EQ
-0.0406,-0.033315458,-0.018682232
0.0008,0.003542758,0.040760189
0.016,0.025182517,0.056656799
0.0143,0.033060363,0.022856855
0.0454,0.067090014,0.091125259
0.0343,0.042316696,0.046541512
-0.0276,-0.019872837,0.001565111
0.0189,0.041837063,0.086208814
-0.0197,-0.026835018,-0.067980965
-0.0261,-0.02448339,-0.028753235
0.0365,-0.000870217,0.032808387
0.0057,0.01136916,0.032219017
0.0392,0.028319114,0.068357956
-0.0122,0.022557412,0.006001787
0.0049,0.041840228,0.090346174
-0.0202,-0.03183659,-0.068035325
0.0361,0.02162738,0.079697044
-0.0025,0.043397764,0.056037814
0.0304,0.057968919,0.108805122
-0.003,-0.005448201,-0.004357392
0.0146,0.029748773,0.005264153
0.0073,0.044899042,0.067762788
-0.0357,-0.041931591,-0.10886421
-0.0035,-0.003633394,-0.006120353
-0.0078,0.006013622,0.010705858
0.0203,0.023568525,0.021778748
0.0184,-0.00235989,0.004306029
0.0323,0.034883124,0.043450252
0.0171,0.025962569,0.070275295
0.0087,0.027453921,0.041123476
0.014,0.002443403,-0.014500668
-0.0196,0.004414553,-0.009592676
0.0068,0.02166354,0.035758147
0.0349,0.040950002,0.043185738
0.0324,0.014749523,0.044738668
-0.0196,-0.002457298,0.043300541
-0.0373,-0.018620304,0.049281298
0.0092,-0.019588124,-0.025124347
0.0322,0.050490826,0.107319967
0.018,0.036202823,0.108398395
-0.0483,-0.036024831,-0.074242728
-0.0087,-0.025150071,0.000890662
-0.0636,-0.094380385,-0.126601177
-0.0309,0.01333684,0.072875832
-0.0093,-0.011741178,-0.054528964
0.046,0.053762759,0.079515334
0.0186,0.009838563,0.017042348
-0.0844,-0.083283986,-0.101323862
-0.0077,-0.033512791,-0.038429102
0.0153,-0.041561178,-0.080848359
-0.0924,-0.145743794,-0.176395576
-0.1723,-0.202535552,-0.274332529
-0.0786,-0.053882206,-0.075506381
0.0174,0.060231883,0.078269447
-0.0812,-0.097976761,-0.064171765
-0.101,-0.102371736,-0.05634483
0.0895,0.063674317,0.143646049
0.1019,0.129516547,0.166463208
0.0521,0.120128735,0.171449746
0.0043,-0.00549516,-0.013371918
0.0772,0.091325932,0.113062599
0.0333,0.054414627,-0.003411143
0.0408,0.03837766,0.09083374
-0.0259,-0.012449579,0.001329307
0.0556,0.020268433,0.043005961
0.0275,0.014432445,0.039514361
-0.0336,-0.04399449,-0.05560986
0.034,-0.006757051,0.003729434
0.0631,0.062956315,0.080712122
0.02,-0.017367774,0.012238825
-0.0789,-0.113772001,-0.08762554
